"Oh, hi! Good morning, @. I'm glad you came in..."	"哦，嗨！早安啊，@。很高興你能進來……"	"719926/t 900 1700/w sunny"
"I've been meaning to show you this... it's my private sunroom."	"我一直想給你展示一下的……這是我的私人日光室。"	"719926/t 900 1700/w sunny"
"So, what do you think?"	"那，你覺得怎麼樣？"	"719926/t 900 1700/w sunny"
"It's beautiful!"	"很漂亮！"	"719926/t 900 1700/w sunny"
"It's very relaxing."	"很舒適。"	"719926/t 900 1700/w sunny"
"It's too hot in here..."	"這裡太熱了……"	"719926/t 900 1700/w sunny"
"Not as good as my farm!"	"沒有我的農場好！"	"719926/t 900 1700/w sunny"
"Thank you! I've worked very hard to make it this way..."	"謝謝你！我付出很多努力才布置好的……"	"719926/t 900 1700/w sunny"
"Yes... when I step in here, I feel calm and relaxed right away. It's really therapeutic!"	"確實……我走進來的時候，立刻就有幽靜和放鬆的感覺。這裡真的很治癒！"	"719926/t 900 1700/w sunny"
"Oh? I find the warmth soothing, myself."	"哦？我自己也覺得這種溫暖的感覺很安神。"	"719926/t 900 1700/w sunny"
"It feels better if you keep still."	"如果你待著不動的話會感覺更好。"	"719926/t 900 1700/w sunny"
"Oh, but you're a professional... For me, it's just a hobby."	"哦，不過你是專業的……對我來說，這只是一項愛好。"	"719926/t 900 1700/w sunny"
"You see, this is my sanctuary... a place where I can always find peace..."	"你瞧，這裡是我的庇護所……是我能一直找到寧靜的地方……"	"719926/t 900 1700/w sunny"
"And it's a perfect place to drink my home-grown tea! Here, let's have a cup..."	"在這裡喝我自家種植的茶葉茶也是極好的！來，我們來喝一杯……"	"719926/t 900 1700/w sunny"
"Have a cup?"	"喝一杯？"	"719926/t 900 1700/w sunny"
"Yes"	"是"	"719926/t 900 1700/w sunny"
"No"	"否"	"719926/t 900 1700/w sunny"
"Sure, no problem..."	"行，沒事……"	"719926/t 900 1700/w sunny"
"Delicious"	"真好喝"	"719926/t 900 1700/w sunny"
"I love to come in here for a fresh cup of tea every day."	"我很喜歡每天來這裡喝一杯新泡的茶。"	"719926/t 900 1700/w sunny"
"It's my little ritual... "	"這是我自己的小儀式……"	"719926/t 900 1700/w sunny"
"Uh... let me try to explain..."	"呃……容我解釋一下……"	"719926/t 900 1700/w sunny"
"I hope that makes sense... "	"我希望能說得通……"	"719926/t 900 1700/w sunny"
"Life can be pretty hectic, so having a hobby like this is nice."	"有時生活會很忙亂，所以擁有這樣的一項愛好也是很不錯的。"	"719926/t 900 1700/w sunny"
"Feel free to come here and relax any time you want, okay?"	"這裡隨時都歡迎你過來休息，如何？"	"719926/t 900 1700/w sunny"
