"There you are... I was worried you didn't get my note."	"你來了……我還擔心你沒收到我的紙條呢。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"It looks like we're alone."	"看來只有我們在這裡。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"The water feels so good after being out in the cold of night, doesn't it?"	"這裡的水感覺真清涼，對吧？"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"Do you know why I asked you here tonight?"	"你知道我今晚約你出來的原因嗎？"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"You have something to tell me."	"你有話想對我說。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"I'm not exactly sure."	"我不太清楚。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"You wanted to see me in my bathing suit."	"你想見穿著泳裝的我。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"Um, how do I say this..."	"呃，該怎麼說呢……"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"I've been meaning to tell you for a while now... about how I feel."	"我有句話想對你說很久了……是有關我的感受的。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"I can't stop thinking about you..."	"我總是不由自主地想著你……"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"I've never felt this way about anyone."	"我從未對任何人有過這種感覺。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"..."	"……"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"I feel the same way about you."	"我對你也有同樣的感受。"	"38/f Penny 2500/t 1900 2400/n pennySpa"
"Sorry, but I don't like you in that way..."	"抱歉，但是我對你沒有這種感覺……"	"38/f Penny 2500/t 1900 2400/n pennySpa"
